name	scope	source_id	source_path	repo_path	files	bytes	description	synced_at
answers	global	global_claude_skills	/home/teng/.claude/skills/answers	skills/global/answers	1	9458	USE FOR AI-grounded answers via OpenAI-compatible /chat/completions. Two modes: single-search (fast) or deep research (enable_research=true, thorough multi-search). Streaming/blocking. Citations.	2026-06-19T22:27:29
answers	global	global_codex_skills	/home/teng/.codex/skills/answers	skills/global/answers	1	9458	USE FOR AI-grounded answers via OpenAI-compatible /chat/completions. Two modes: single-search (fast) or deep research (enable_research=true, thorough multi-search). Streaming/blocking. Citations.	2026-06-19T22:27:29
auto-deep-research	global	global_claude_skills	/home/teng/.claude/skills/auto-deep-research	skills/global/auto-deep-research	3	15166	Automatically orchestrates web search, raw web context, and deep research for requests to search, 查资料, 搜资料, 深度搜索, 调研, 文献综述, 找论文/资料/来源, look up, research, gather sources, compare current tools, or verify online claims. Use when the user asks for search/research without naming a specific search skill; it routes only through Brave spellcheck, autosuggest, web search, LLM context, and local report orchestration. 中文追加触发词：寻找参考文献、搜索文献、查参考文献、找相关论文、找几篇论文、文献搜索、论文搜索、参考文献怎么找、根据文献找来源。	2026-06-19T22:27:29
auto-deep-research	global	global_codex_skills	/home/teng/.codex/skills/auto-deep-research	skills/global/auto-deep-research	3	15166	Automatically orchestrates web search, raw web context, and deep research for requests to search, 查资料, 搜资料, 深度搜索, 调研, 文献综述, 找论文/资料/来源, look up, research, gather sources, compare current tools, or verify online claims. Use when the user asks for search/research without naming a specific search skill; it routes only through Brave spellcheck, autosuggest, web search, LLM context, and local report orchestration. 中文追加触发词：寻找参考文献、搜索文献、查参考文献、找相关论文、找几篇论文、文献搜索、论文搜索、参考文献怎么找、根据文献找来源。	2026-06-19T22:27:29
bio-data-code-availability	global	global_claude_skills	/home/teng/.claude/skills/bio-data-code-availability	skills/global/bio-data-code-availability	2	4688	Prepare or audit Data Availability and Code Availability statements for bioinformatics manuscripts. Use for 生信数据可用性, 代码可用性, GEO/SRA/ENA/BioProject/BioSample/PRIDE/Zenodo/GitHub accession, FAIR清单, source data. Do not invent repository records, accessions, DOIs, licences, embargo dates, or access restrictions.	2026-06-19T22:27:29
bio-data-code-availability	global	global_codex_skills	/home/teng/.codex/skills/bio-data-code-availability	skills/global/bio-data-code-availability	2	4688	Prepare or audit Data Availability and Code Availability statements for bioinformatics manuscripts. Use for 生信数据可用性, 代码可用性, GEO/SRA/ENA/BioProject/BioSample/PRIDE/Zenodo/GitHub accession, FAIR清单, source data. Do not invent repository records, accessions, DOIs, licences, embargo dates, or access restrictions.	2026-06-19T22:27:29
bio-methods-writing	global	global_claude_skills	/home/teng/.claude/skills/bio-methods-writing	skills/global/bio-methods-writing	2	3942	Draft reproducible bioinformatics Methods from workflow provenance, commands, configs, EVIDENCE_PACK.md, software lists, and author notes. Use for 生信Methods, 材料与方法, workflow写法, 可复现方法, RNA-seq/富集/单细胞/系统发育方法写作. Do not run or debug analyses, infer missing parameters, or fabricate versions, genome builds, accessions, or thresholds.	2026-06-19T22:27:29
bio-methods-writing	global	global_codex_skills	/home/teng/.codex/skills/bio-methods-writing	skills/global/bio-methods-writing	2	3942	Draft reproducible bioinformatics Methods from workflow provenance, commands, configs, EVIDENCE_PACK.md, software lists, and author notes. Use for 生信Methods, 材料与方法, workflow写法, 可复现方法, RNA-seq/富集/单细胞/系统发育方法写作. Do not run or debug analyses, infer missing parameters, or fabricate versions, genome builds, accessions, or thresholds.	2026-06-19T22:27:29
bio-paper-writing	global	global_claude_skills	/home/teng/.claude/skills/bio-paper-writing	skills/global/bio-paper-writing	4	9746	Draft or restructure bioinformatics manuscripts from EVIDENCE_PACK.md, figures, tables, analysis summaries, or Chinese notes. Use for 生信论文, 写abstract, 写introduction, 写Results, 写Discussion, 根据结果写论文, 中文实验记录写英文论文. Do not run analyses, validate accessions, or fabricate datasets, statistics, software versions, mechanisms, or citations.	2026-06-19T22:27:29
bio-paper-writing	global	global_codex_skills	/home/teng/.codex/skills/bio-paper-writing	skills/global/bio-paper-writing	4	9746	Draft or restructure bioinformatics manuscripts from EVIDENCE_PACK.md, figures, tables, analysis summaries, or Chinese notes. Use for 生信论文, 写abstract, 写introduction, 写Results, 写Discussion, 根据结果写论文, 中文实验记录写英文论文. Do not run analyses, validate accessions, or fabricate datasets, statistics, software versions, mechanisms, or citations.	2026-06-19T22:27:29
